Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARIA VALDILIDIA;12021563;AC;Porto Walter;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE RAIMUNDO DO VALE, RIO CRUZEIRO DO VALE. 69982-000 Porto Walter - AC.";(68) 984262535;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PADRE ALBERTO ROBERTO URBAM;12021580;AC;Feijó;Rural;A escola não está em área de localização diferenciada;Pública;"PARANA DO OURO - SERINGAL AGRIAO DO NORTE, ZONA RURAL. 69960-000 Feijó - AC.";(68) 34634002;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC AYRTON SENNA DA SILVA;12021601;AC;Rio Branco;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ZACARIAS, 130 AYRTON SENNA DA SILVA. 69911-836 Rio Branco - AC.";(68) 99925712;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.0002712;-67.8256793
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC PROF ILKA MARIA DE LIMA;12021628;AC;Rio Branco;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DA MELANCIA, 271 MOCINHA MAGALHAES. 69920-066 Rio Branco - AC.";(68) 999879374;Estadual;Não Informado;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-9.9441553;-67.8572637
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC CUMARU;12021636;AC;Rio Branco;Rural;A escola não está em área de localização diferenciada;Pública;"RODOVIA TRANSACREANA, FLORESTA SUL. 69912-290 Rio Branco - AC.";(68) 999089864;Estadual;Não Informado;Não;Não;Até 50 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JORNALISTA JOSE CHALUB LEITE;12021644;AC;Rio Branco;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DO AREAL, 861 AREAL DA CORRENTE. 69906-083 Rio Branco - AC.";(68) 81076461;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC RAIMUNDO BORGES DA COSTA;12021660;AC;Rio Branco;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FRANCISCO ADEMAR, 188 CHICO MENDES. 69900-050 Rio Branco - AC.";(68) 999329564;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-9.9412928;-67.8043783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC JOELMA OLIVEIRA DE LIMA;12021687;AC;Rio Branco;Urbana;A escola não está em área de localização diferenciada;Pública;"ALAMEDA ANTONIO PESSOA JUCA, QUADRA 69 MONTANHES. 69921-440 Rio Branco - AC.";(68) 32280521;Estadual;Não Informado;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-9.9224822;-67.8335229
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC DJALMA TELES GALDINO;12021717;AC;Rio Branco;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PRIMAVERA, 111 CONJ JORGE LAVOCART. VILA IVONETE. 69922-026 Rio Branco - AC.";(68) 999482783;Estadual;Não Informado;Não;Em Tramitação;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-9.9293234;-67.8423453
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUNDO ENCANTADO;12021725;AC;Capixaba;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BRASIL, S / Nº CONQUISTA. 69931-000 Capixaba - AC.";(68) 32341062;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-10.5717668;-67.677393
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC INDIGENA BETEL;12021733;AC;Assis Brasil;Rural;Terra indígena;Pública;"TERRA INDIGENA MAMOADATE, SN RIO IACO. RURAL. 69935-000 Assis Brasil - AC.";;Estadual;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;Ensino Fundamental;;;
